"id","var","nums","yvs","pTMEAN","tauTMEAN","pPRCP","tauPRCP","ppH","taupH","pANC","tauANC","pSO4","tauSO4","pNO3","tauNO3","pNH4","tauNH4","ptotN","tautotN"
"ws2_flux_NO3ac","ws2_flux_NO3",17,"ac",0.685877173486417,-0.0869565308094025,0.378934397173755,-0.166666686534882,0.0156169082179214,-0.41742354631424,0.0382221587716717,-0.362318873405457,0.104743289545116,0.289855092763901,0.0268478505751666,0.384057998657227,0.222027762239332,0.22463770210743,0.0477925591929463,0.34782612323761
"ws2_flux_NO3kt","ws2_flux_NO3",17,"kt",0.164679830310909,0.253623217344284,0.866173579775054,0.0434782654047012,0.000289444696335565,0.61343115568161,0.00105324065942558,0.557971060276031,0.000271645111220861,-0.615942120552063,0.00121509838456503,-0.550724685192108,0.0382221587716717,-0.362318873405457,0.0013744426223467,-0.543478310108185
"ws2_flux_NO3sd","ws2_flux_NO3",17,"sd",0.983304661870379,0.0144927548244596,0.59638671875,-0.108695663511753,0.157222418143199,-0.257713675498962,0.355083930509906,-0.173913061618805,0.311304301750369,0.188405811786652,0.47961321931001,0.137681171298027,0.655387310670897,0.0942029058933258,0.506261529985643,0.130434796214104
"ws2_flux_NO3sk","ws2_flux_NO3",17,"sk",0.238982946732465,0.217391327023506,0.993227100469728,0.00724637741222978,0.00204768933747944,0.52631664276123,0.0039691054101648,0.492753684520721,0.000907143983623069,-0.565217435359955,0.00607691150536096,-0.471014559268951,0.0962186314181824,-0.297101467847824,0.00680151262453624,-0.463768154382706
"ws2_volwt_Caac","ws2_volwt_Ca",2,"ac",0.258093246743699,0.210144951939583,0.405525703430176,0.159420311450958,0.00572129345815116,0.475499868392944,0.0128563700856029,0.427536278963089,0.0268478505751666,-0.384057998657227,0.0116102642759129,-0.434782654047012,0.0116102642759129,-0.434782654047012,0.00778927040717951,-0.456521779298782
"ws2_volwt_Cakt","ws2_volwt_Ca",2,"kt",0.273424145517547,0.202898576855659,0.47961321931001,0.137681171298027,4.0777798356681e-05,0.693286061286926,8.00210219624984e-05,0.666666746139526,0.00121509838456503,-0.550724685192108,0.00037426495846295,-0.601449370384216,0.138690279774457,-0.268115967512131,0.00121509838456503,-0.550724685192108
"ws2_volwt_Casd","ws2_volwt_Ca",2,"sd",0.177995445116745,0.246376842260361,0.771219698441221,0.0652173981070518,0.00148150047160083,0.540835738182068,0.00159967595880682,0.536231935024261,0.00531170846618436,-0.478260934352875,0.000769278076734013,-0.572463810443878,0.0025512195024334,-0.514492809772491,0.000451061056710073,-0.594202935695648
"ws2_volwt_Cask","ws2_volwt_Ca",2,"sk",0.204152456144007,0.231884077191353,0.47961321931001,0.137681171298027,1.34908706159978e-05,0.751362383365631,8.00210219624984e-05,0.666666746139526,0.000312877673689925,-0.60869574546814,9.61812337239583e-05,-0.659420371055603,0.0654403778443854,-0.32608699798584,0.000231792417501933,-0.623188495635986
"ws2_volwt_NO3ac","ws2_volwt_NO3",7,"ac",0.954202224503459,0.0217391327023506,0.922608878620234,-0.0289855096489191,0.786576412908,-0.0617060922086239,0.716573303551983,-0.0797101557254791,0.889719179772604,-0.0362318865954876,0.685877173486417,0.0869565308094025,0.983304661870379,-0.0144927548244596,0.889719179772604,0.0362318865954876
"ws2_volwt_NO3kt","ws2_volwt_NO3",7,"kt",0.204152456144007,0.231884077191353,0.771219698441221,0.0652173981070518,0.000490059286861096,0.591652512550354,0.00159967595880682,0.536231935024261,0.00121509838456503,-0.550724685192108,0.0025512195024334,-0.514492809772491,0.080553672429857,-0.311594247817993,0.0039691054101648,-0.492753684520721
"ws2_volwt_NO3sd","ws2_volwt_NO3",7,"sd",0.454246458116469,0.14492754638195,0.716573303551983,-0.0797101557254791,0.320835676537939,-0.185118272900581,0.506261529985643,-0.130434796214104,0.454246458116469,0.14492754638195,0.716573303551983,0.0797101557254791,0.889719179772604,-0.0362318865954876,0.745682396978702,0.0724637731909752
"ws2_volwt_NO3sk","ws2_volwt_NO3",7,"sk",0.138690279774457,0.268115967512131,0.801097709299897,0.0579710192978382,0.0012822618671492,0.548095285892487,0.00346842500352368,0.500000059604645,0.0025512195024334,-0.514492809772491,0.00680151262453624,-0.463768154382706,0.126186461583805,-0.275362342596054,0.0101776559844272,-0.442029029130936
"ws4_flux_Caac","ws4_flux_Ca",13,"ac",0.40352958252915,-0.168831184506416,0.0840016371066417,0.324675351381302,0.639611995473188,0.104121722280979,0.655387310670897,0.0995671078562737,0.92435297232013,-0.0303030330687761,0.983678768742121,-0.0129870139062405,0.238982946732465,0.229437246918678,0.983678768742121,0.0129870139062405
